"id","title","component","owner","priority","status","reason","lab","org_unit","program","customer_contact","updated_by","submitted_date","closed_date","acknowledged_date","eta","eta_request","category","cell_id"
"=HYPERLINK(""https://hsdes.intel.com/resource/16015330290"",""16015330290"")","[50.3D][TGL] RELEASE CELL FOR WO EXECUTION,APPV10/PG12 MPE Lab/11,12,6,8,1,2,3,4,5,7,9,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,APPV10/PG12 MPE Lab/1,11,APPV10/PG12 MPE Lab/1,4,6,9,11,12","lab.PPV.Remote Support",,"4-low","open","new","PG12 MPE Lab","MPE Labs","TGL-U/Y","fathiyax","imohdn1x","=TEXT(""2021-12-08 07:52:25.517"", ""yyyy-mm-dd h:mm:ss"")",,,,,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/16015329693"",""16015329693"")","[WW50.2][REMOTE SUPPORT][GLK][APPV0001C] Need OPS support to collect and place the units from MIR # 1481050 in APPV0001C/PG12/MPE","lab.PPV.Remote Support","binm186x","2-high","open","wip","PG12 MPE Lab","MPE Labs","GLK","rgirijax","binm186x","=TEXT(""2021-12-08 00:35:44.590"", ""yyyy-mm-dd h:mm:ss"")",,"=TEXT(""2021-12-08 01:09:56.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-12-22 00:00:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV","1"
"=HYPERLINK(""https://hsdes.intel.com/resource/16015329688"",""16015329688"")","[WW50.2][REMOTE SUPPORT][GLK][APPV0001C] Need OPS support to collect and place the units from MIR # 1481045 in APPV0001C/PG12/MPE","lab.PPV.Remote Support","binm186x","2-high","open","wip","PG12 MPE Lab","MPE Labs","GLK","rgirijax","binm186x","=TEXT(""2021-12-08 00:34:40.520"", ""yyyy-mm-dd h:mm:ss"")",,"=TEXT(""2021-12-08 01:10:10.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-12-22 00:00:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV","1"
"=HYPERLINK(""https://hsdes.intel.com/resource/16015328333"",""16015328333"")","[WW48.2[REMOTE SUPPORT] [JSL+]Please collect the MIR#   1481186  from IC team  & place the units.,APPV01/PG12 MPE Lab/7,APPV01/PG12 MPE Lab/7,8","lab.PPV.Remote Support","binm186x","2-high","open","wip","PG12 MPE Lab","MPE Labs","JSL","shaikax","binm186x","=TEXT(""2021-12-07 20:40:52.430"", ""yyyy-mm-dd h:mm:ss"")",,"=TEXT(""2021-12-07 20:58:37.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-12-21 00:00:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/16015327892"",""16015327892"")","[WW48.3][REMOTE SUPPORT] [JSL+]  Please place 2 cleaning coupons in Cell 3 and Cell 12 in APPV1b,APPV01/PG12 MPE Lab/3,APPV01/PG12 MPE Lab/3,12","lab.PPV.Remote Support","mbin324x","2-high","open","wip","PG12 MPE Lab","MPE Labs","JSL","shaikax","mbin324x","=TEXT(""2021-12-07 20:04:32.403"", ""yyyy-mm-dd h:mm:ss"")",,"=TEXT(""2021-12-07 20:09:16.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-12-21 20:00:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/16015324124"",""16015324124"")","[WW50.2] [REMOTE SUPPORT] [APPV09] Help to Continue Run Looping,APPV09/PG12 MPE Lab/1,2,3","lab.PPV.Remote Support","izzatf1x","2-high","complete","released","PG12 MPE Lab","MPE Labs","SNR",,"binm186x","=TEXT(""2021-12-07 16:44:46.843"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-12-08 01:52:39.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-12-07 16:57:04.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-12-21 16:57:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/16015322796"",""16015322796"")","[WW48.1[REMOTE SUPPORT] [JSL+]Please collect the MIR#  1480570  from IC team  & place the units,,APPV01/PG12 MPE Lab/4,10,11,APPV01/PG12 MPE Lab/4,10,11","lab.PPV.Remote Support",,"2-high","rejected","cannot_reproduce","PG12 MPE Lab","MPE Labs","JSL","shaikax","nkasimx","=TEXT(""2021-12-07 15:34:54.457"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-12-07 15:39:36.000"", ""yyyy-mm-dd h:mm:ss"")",,,,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/16015322626"",""16015322626"")","[WW48.1[REMOTE SUPPORT] [JSL+]Please collect the MIR#  1480570  from IC team  & place the units,,APPV01/PG12 MPE Lab/4,10,APPV01/PG12 MPE Lab/4,10,11","lab.PPV.Remote Support","nkasimx","2-high","open","wip","PG12 MPE Lab","MPE Labs","JSL","shaikax","binm186x","=TEXT(""2021-12-07 15:24:41.283"", ""yyyy-mm-dd h:mm:ss"")",,"=TEXT(""2021-12-07 15:35:30.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-12-21 15:40:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/16015322524"",""16015322524"")","[WW50.2][REMOTE SUPPORT][GLK][APPV0001C] Need OPS support to collect and place the units from MIR # 1480411 in APPV0001C/PG12/MPE","lab.PPV.Remote Support","nkasimx","2-high","open","wip","PG12 MPE Lab","MPE Labs","GLK","rgirijax","izzatf1x","=TEXT(""2021-12-07 15:16:34.980"", ""yyyy-mm-dd h:mm:ss"")",,"=TEXT(""2021-12-07 15:28:37.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-12-21 15:30:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV","1"
"=HYPERLINK(""https://hsdes.intel.com/resource/16015322032"",""16015322032"")","[REMOTE SUPPORT][WW50.2][ADL][APPV#03]  -> Need support to collect and place units in APPV03 and 03B from MIR#1480525 /PG12 MPE Lab/1,2","lab.PPV.Remote Support","nkasimx","2-high","open","wip","PG12 MPE Lab","MPE Labs","ADL S601","anishnax","mbin324x","=TEXT(""2021-12-07 14:59:53.153"", ""yyyy-mm-dd h:mm:ss"")",,"=TEXT(""2021-12-07 15:28:58.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-12-21 15:30:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV","1"
